Status,ScriptPath,TypeName,BaseTypeName,SerializedReference,ExternalCodeReferenceCount,ExternalCodeReferenceFiles,Notes
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/PlayerControlServiceEditModeTests.cs","PlayerControlServiceEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_BootstrapContractTests.cs","S03_02_BootstrapContractTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_FuelContractTests.cs","S03_02_FuelContractTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_InteractionTests.cs","S03_02_InteractionTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_PresentationStructuralTests.cs","S03_02_PresentationStructuralTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_RouteEndpointAssetTests.cs","S03_02_RouteEndpointAssetTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_SaveContractTests.cs","S03_02_SaveContractTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_TargetTests.cs","S03_02_TargetTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_TravelFuelTests.cs","S03_02_TravelFuelTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/SaveMigrationEditModeTests.cs","SaveMigrationEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/SfTestReflection.cs","SfTestReflection","System.Object","False","8","Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_BootstrapContractTests.cs | Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_FuelContractTests.cs | Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_InteractionTests.cs | Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_PresentationStructuralTests.cs | Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_RouteEndpointAssetTests.cs | Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_SaveContractTests.cs | Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_TargetTests.cs | Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_TravelFuelTests.cs","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/ShipMovementServiceEditModeTests.cs","ShipMovementServiceEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/SystemBoundsAndSaveSyncEditModeTests.cs","SystemBoundsAndSaveSyncEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/SystemGameplayStateServiceEditModeTests.cs","SystemGameplayStateServiceEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/TargetService2AEditModeTests.cs","TargetService2AEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/SystemScene/SystemSceneRoot2AEditModeTests.cs","SystemSceneRoot2AEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/Manual/Editor/RouteEndpointValidator2A.cs","RouteEndpointValidator2A","System.Object","False","1","Assets/_Project/Tests/EditMode/Sprint3Verification/S03_02_RouteEndpointAssetTests.cs","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/Manual/Editor/S03FrameRateTestWindow.cs","S03FrameRateTestWindow","UnityEditor.EditorWindow","False","0","","Editor/test scripts are not classified as unused by this audit."
